2026-04-01 00:14:48,012 INFO =======================================================
2026-04-01 00:14:48,012 INFO AGENTE DE EMPLEO — 01/04/2026 — 20260401_001448
2026-04-01 00:15:02,028 WARNING    🚫 Filtrada oferta de fuera: hove, england, united kingdom (ID: 4392195876)
2026-04-01 00:15:02,028 WARNING    🚫 Filtrada oferta de fuera: west sussex, england, united kingdom (ID: 4381735653)
2026-04-01 00:15:02,028 WARNING    🚫 Filtrada oferta de fuera: crawley, england, united kingdom (ID: 4393556881)
2026-04-01 00:15:02,028 INFO     ✅ +0 locales encontradas.
2026-04-01 00:15:05,028 INFO  🔎 Buscando [Lead]...
2026-04-01 00:15:05,481 WARNING    🚫 Filtrada oferta de fuera: worthing, england, united kingdom (ID: 4393542858)
2026-04-01 00:15:05,481 WARNING    🚫 Filtrada oferta de fuera: crawley, england, united kingdom (ID: 4383790773)
2026-04-01 00:15:05,481 WARNING    🚫 Filtrada oferta de fuera: crawley, england, united kingdom (ID: 4383793671)
2026-04-01 00:15:05,481 WARNING    🚫 Filtrada oferta de fuera: west sussex, england, united kingdom (ID: 4381735653)
2026-04-01 00:15:05,481 WARNING    🚫 Filtrada oferta de fuera: hove, england, united kingdom (ID: 4392195876)
2026-04-01 00:15:05,481 WARNING    🚫 Filtrada oferta de fuera: shoreham-by-sea, england, united kingdom (ID: 4390908797)
2026-04-01 00:15:05,481 WARNING    🚫 Filtrada oferta de fuera: crawley, england, united kingdom (ID: 4385361224)
2026-04-01 00:15:05,481 WARNING    🚫 Filtrada oferta de fuera: east grinstead, england, united kingdom (ID: 4393512488)
2026-04-01 00:15:05,481 WARNING    🚫 Filtrada oferta de fuera: lewes, england, united kingdom (ID: 4393271425)
2026-04-01 00:15:05,481 WARNING    🚫 Filtrada oferta de fuera: east grinstead, england, united kingdom (ID: 4393519358)
2026-04-01 00:15:05,481 INFO     ✅ +0 locales encontradas.
2026-04-01 00:15:08,481 INFO  🔎 Buscando [Director]...
2026-04-01 00:15:08,850 WARNING    🚫 Filtrada oferta de fuera: lingfield, england, united kingdom (ID: 4393560695)
2026-04-01 00:15:08,850 WARNING    🚫 Filtrada oferta de fuera: east grinstead, england, united kingdom (ID: 4393512488)
2026-04-01 00:15:08,850 WARNING    🚫 Filtrada oferta de fuera: lewes, england, united kingdom (ID: 4393271425)
2026-04-01 00:15:08,850 WARNING    🚫 Filtrada oferta de fuera: east grinstead, england, united kingdom (ID: 4393519358)
2026-04-01 00:15:08,850 WARNING    🚫 Filtrada oferta de fuera: brighton, england, united kingdom (ID: 4393509212)
2026-04-01 00:15:08,850 WARNING    🚫 Filtrada oferta de fuera: east grinstead, england, united kingdom (ID: 4393525006)
2026-04-01 00:15:08,851 WARNING    🚫 Filtrada oferta de fuera: polegate, england, united kingdom (ID: 4392563486)
2026-04-01 00:15:08,851 WARNING    🚫 Filtrada oferta de fuera: west sussex, england, united kingdom (ID: 4381735653)
2026-04-01 00:15:08,851 WARNING    🚫 Filtrada oferta de fuera: hove, england, united kingdom (ID: 4392195876)
2026-04-01 00:15:08,851 WARNING    🚫 Filtrada oferta de fuera: eastbourne, england, united kingdom (ID: 4392401445)
2026-04-01 00:15:08,851 INFO     ✅ +0 locales encontradas.
2026-04-01 00:15:11,851 INFO  🔎 Buscando [Manager]...
2026-04-01 00:15:12,313 WARNING    🚫 Filtrada oferta de fuera: lingfield, england, united kingdom (ID: 4393560695)
